编号,血缘关系,关系来源,关系目标,关系方向,建立方式,数据库表/字段,API接口,前端页面路径,前端页面功能,前端组件路径,组件功能,标签字段,标签值,备注
1,数据库→数据表,Database,Table,下游,直接外键,tables.database_id,/databases/<id>,app/databases/page.tsx,数据库列表页面,components/DetailDrawer.tsx → renderOverviewTab(),概览Tab显示表数量,无,无,表同步时设置 database_id
2,数据表→数据库,Table,Database,上游,直接外键,tables.database_id,/tables/<id>,app/tables/page.tsx,数据表列表页面,components/DetailDrawer.tsx → renderOverviewTab(),概览Tab显示所属数据库,无,无,通过 database_id 反查
3,数据表→数据源,Table,Datasource,下游,关联表,table_to_datasource,/tables/<id>/datasources,app/tables/page.tsx,数据表详情抽屉,components/DetailDrawer.tsx → renderDatasourcesTab(),数据源Tab列表展示,relationship_type,upstream/source,数据源同步时建立
4,数据表→工作簿,Table,Workbook,下游,推导查询,table→datasource→workbook,/tables/<id>/workbooks,app/tables/page.tsx,数据表详情抽屉,components/DetailDrawer.tsx → renderAssetSection(),工作簿Tab列表展示,无,无,多表JOIN推导
5,数据表→字段,Table,Field,下游,直接外键,fields.table_id,/tables/<id>/fields,app/tables/page.tsx,数据表详情抽屉,components/DetailDrawer.tsx → renderFieldsGroupedByColumn(),按列分组展示字段,无,无,字段同步时设置
6,嵌入式表标识,Table,null,属性,API返回,tables.is_embedded,/tables,app/tables/page.tsx,数据表列表页面,components/cards/TableCard.tsx,卡片显示嵌入标记徽章,is_embedded,0/1,区分物理表和嵌入表
7,表类型标识,Table,null,属性,API返回,tables.table_type,/tables/<id>,app/tables/page.tsx,数据表详情抽屉,components/DetailDrawer.tsx → renderOverviewTab(),概览Tab显示表类型,__typename,DatabaseTable/EmbeddedTable/CustomSQLTable,Tableau返回类型
8,原始列→数据表,DBColumn,Table,上游,直接外键,db_columns.table_id,/columns/<id>,无独立页面,通过表详情访问,components/DetailDrawer.tsx → renderColumnsGroupedByTable(),原始列Tab分组展示,无,无,表同步时一起保存列
9,原始列→字段,DBColumn,Field,下游,直接外键,fields.upstream_column_id,/fields/<id>,app/fields/page.tsx,字段详情抽屉,components/DetailDrawer.tsx → renderOverviewTab(),概览Tab显示上游列名,无,无,字段同步时设置
10,列数据类型,DBColumn,null,属性,API返回,db_columns.remote_type,/columns/<id>,无独立页面,通过表详情访问,components/DetailDrawer.tsx,列信息显示数据类型,remote_type,VARCHAR/NUMBER/DATE等,数据库原生类型
11,数据源→数据表,Datasource,Table,上游,关联表,table_to_datasource,/datasources/<id>,app/datasources/page.tsx,数据源详情抽屉,components/DetailDrawer.tsx → renderAssetSection(),表Tab列表展示,无,无,数据源同步时建立
12,数据源→工作簿,Datasource,Workbook,下游,关联表,datasource_to_workbook,/datasources/<id>/workbooks,app/datasources/page.tsx,数据源详情抽屉,components/DetailDrawer.tsx → renderAssetSection(),工作簿Tab列表展示,无,无,工作簿同步时建立
